product_id,archetype,unit_price,annual_qty,annual_value,criticality,substitutability,avg_lead_time,lead_time_std,nb_suppliers,demand_variability,stockout_history,abc_class
SKU-2708,expensive_strategic,30937.45,462,14293101.9,5.0,1,29.9,5.1,3,0.105,1.0,A
SKU-2152,expensive_strategic,30861.64,463,14288939.32,4.0,1,29.5,5.8,2,0.142,0.0,A
SKU-1491,expensive_strategic,31481.88,451,14198327.88,4.0,2,30.5,7.3,3,0.085,0.0,A
SKU-3399,expensive_strategic,44049.73,322,14184013.06,5.0,1,30.5,3.6,2,0.174,2.0,A
SKU-0125,expensive_strategic,32806.92,432,14172589.44,4.0,2,17.6,8.7,1,0.135,0.0,A
SKU-2915,expensive_strategic,32480.71,436,14161589.56,4.0,2,29.1,4.0,2,0.12,1.0,A
SKU-1033,expensive_strategic,40123.43,352,14123447.36,5.0,2,18.8,7.0,3,0.118,0.0,A
SKU-1011,expensive_strategic,44988.92,313,14081531.96,4.0,1,37.3,9.9,2,0.08,2.0,A
SKU-2961,expensive_strategic,33904.97,414,14036657.58,5.0,2,30.5,7.5,2,0.13,0.0,A
SKU-2450,expensive_strategic,43882.39,318,13954600.02,5.0,2,18.8,3.4,3,0.12,2.0,A
SKU-0045,expensive_strategic,30558.84,456,13934831.04,5.0,1,22.4,6.0,3,0.089,2.0,A
SKU-0506,expensive_strategic,48561.0,286,13888446.0,5.0,1,30.5,8.2,3,0.186,2.0,A
SKU-2106,expensive_strategic,45341.84,306,13874603.04,4.0,2,24.6,8.5,3,0.127,1.0,A
SKU-1603,expensive_strategic,32122.84,429,13780698.36,5.0,2,43.1,3.3,2,0.103,0.0,A
SKU-2376,expensive_strategic,30364.64,453,13755181.92,4.0,1,41.1,5.7,2,0.187,2.0,A
SKU-3191,expensive_strategic,41422.4,332,13752236.8,4.0,1,20.2,7.3,3,0.079,0.0,A
SKU-0694,expensive_strategic,45183.41,301,13600206.41,5.0,1,43.5,8.1,3,0.084,1.0,A
SKU-0880,expensive_strategic,42961.41,315,13532844.15,5.0,2,39.3,7.9,3,0.186,2.0,A
SKU-1791,expensive_strategic,44921.39,301,13521338.39,4.0,1,17.5,8.9,3,0.09,2.0,A
SKU-0538,expensive_strategic,46844.17,288,13491120.96,4.0,2,28.9,9.2,3,0.087,0.0,A
SKU-2936,expensive_strategic,27702.033854166668,394,10914601.34,4.0,2,42.0,4.7,2,0.093,1.0,A
SKU-1341,expensive_strategic,37160.94,362,13452260.28,4.0,2,15.4,8.2,2,0.125,1.0,A
SKU-2862,expensive_strategic,46846.88,286,13398207.68,4.0,1,25.2,7.5,2,0.083,2.0,A
SKU-1193,expensive_strategic,37986.09,352,13371103.68,5.0,1,31.4,4.0,3,0.114,0.0,A
SKU-0387,expensive_strategic,31455.6,425,13368630.0,4.0,2,32.2,4.7,2,0.141,1.0,A
SKU-2113,expensive_strategic,41410.73,322,13334255.06,5.0,2,42.9,3.1,2,0.051,2.0,A
SKU-1519,expensive_strategic,45357.31,292,13244334.52,4.0,1,20.7,8.3,3,0.055,1.0,A
SKU-0159,expensive_strategic,46973.88,281,13199660.28,4.0,1,31.7,7.9,2,0.135,1.0,A
SKU-0181,expensive_strategic,28424.47,464,13188954.08,4.0,1,30.2,6.6,3,0.059,2.0,A
SKU-0909,expensive_strategic,28824.61,455,13115197.55,5.0,2,29.7,9.8,3,0.151,0.0,A
SKU-1776,expensive_strategic,27454.15,477,13095629.55,5.0,1,29.0,7.5,3,0.073,1.0,A
SKU-1321,expensive_strategic,35331.03,370,13072481.1,4.0,1,18.4,3.2,2,0.143,2.0,A
SKU-0112,expensive_strategic,48494.64,269,13045058.16,4.0,2,37.7,6.2,2,0.106,0.0,A
SKU-0132,expensive_strategic,31910.41,405,12923716.05,4.0,2,30.4,6.4,3,0.091,1.0,A
SKU-2834,expensive_strategic,30192.66,428,12922458.48,4.0,1,24.4,9.0,2,0.176,1.0,A
SKU-3115,expensive_strategic,26126.08,491,12827905.28,4.0,1,19.9,5.8,2,0.114,2.0,A
SKU-2377,expensive_strategic,40690.15,314,12776707.1,5.0,2,31.1,7.4,2,0.193,2.0,A
SKU-1411,expensive_strategic,44783.15,283,12673631.45,5.0,2,29.8,8.6,2,0.182,2.0,A
SKU-2634,expensive_strategic,28211.09,449,12666779.41,4.0,2,23.7,9.8,2,0.061,1.0,A
SKU-3350,expensive_strategic,38980.71,324,12629750.04,5.0,2,33.8,7.8,2,0.109,1.0,A
SKU-2434,expensive_strategic,46334.41,270,12510290.7,5.0,2,39.0,8.4,3,0.17,1.0,A
SKU-0411,expensive_strategic,39777.8,314,12490229.2,5.0,2,30.6,7.0,3,0.073,1.0,A
SKU-3213,expensive_strategic,25857.27,481,12437346.87,4.0,1,41.7,9.9,2,0.145,2.0,A
SKU-0930,expensive_strategic,47522.63,261,12403406.43,4.0,2,42.9,4.9,2,0.088,2.0,A
SKU-1898,expensive_strategic,32506.22,380,12352363.6,5.0,1,32.2,9.8,3,0.182,0.0,A
SKU-0890,expensive_strategic,33519.54,368,12335190.72,4.0,2,30.5,6.2,3,0.129,2.0,A
SKU-0050,expensive_strategic,42063.06,292,12282413.52,4.0,1,23.3,4.4,3,0.068,1.0,A
SKU-3304,expensive_strategic,48292.63,254,12266328.02,4.0,1,43.6,5.4,2,0.193,1.0,A
SKU-2227,expensive_strategic,25106.46,485,12176633.1,5.0,1,35.1,6.2,2,0.153,1.0,A
SKU-2848,expensive_strategic,46395.6,262,12155647.2,5.0,1,19.4,5.5,2,0.059,1.0,A
SKU-0395,expensive_strategic,29517.11,411,12131532.21,4.0,2,29.8,6.2,3,0.09,1.0,A
SKU-0827,expensive_strategic,24332.12,498,12117395.76,4.0,2,34.4,7.8,3,0.1,2.0,A
SKU-1327,expensive_strategic,27702.033854166668,245,6786998.29,4.0,2,37.9,5.0,3,0.107,0.0,A
SKU-0843,expensive_strategic,38648.45,312,12058316.4,5.0,1,19.1,5.8,2,0.17,2.0,A
SKU-0488,expensive_strategic,31608.55,380,12011249.0,4.0,1,39.8,6.0,2,0.136,1.0,A
SKU-3083,expensive_strategic,24557.45,488,11984035.6,5.0,2,22.3,3.7,2,0.085,1.0,A
SKU-2943,expensive_strategic,39000.68,306,11934208.08,5.0,1,33.6,5.9,3,0.127,1.0,A
SKU-2069,expensive_strategic,30497.08,389,11863364.12,5.0,1,31.4,7.4,3,0.129,1.0,A
SKU-2911,expensive_strategic,35858.47,330,11833295.1,5.0,1,21.1,7.9,3,0.099,2.0,A
SKU-0103,expensive_strategic,35262.83,335,11813048.05,5.0,1,35.8,5.6,3,0.069,2.0,A
SKU-0761,expensive_strategic,45929.99,254,11666217.46,4.0,1,27.2,7.0,3,0.099,0.0,A
SKU-1653,expensive_strategic,25645.54,447,11463556.38,4.0,1,41.8,6.5,2,0.075,2.0,A
SKU-2053,expensive_strategic,38618.88,294,11353950.72,4.0,2,33.9,4.0,2,0.177,2.0,A
SKU-3012,expensive_strategic,45156.25,251,11334218.75,5.0,1,38.1,8.6,3,0.188,0.0,A
SKU-2681,expensive_strategic,22742.2,496,11280131.2,4.0,2,37.6,7.1,3,0.131,2.0,A
SKU-1130,expensive_strategic,39144.81,286,11195415.66,5.0,2,25.7,5.1,3,0.186,2.0,A
SKU-2446,expensive_strategic,34733.77,320,11114806.4,5.0,2,35.5,6.3,3,0.15,1.0,A
SKU-3362,expensive_strategic,37131.18,298,11065091.64,4.0,2,43.4,3.1,3,0.095,2.0,A
SKU-3095,expensive_strategic,32614.74,337,10991167.38,4.0,1,27.9,8.0,3,0.173,1.0,A
SKU-0176,expensive_strategic,28000.11,392,10976043.12,4.0,1,38.8,9.9,2,0.156,1.0,A
SKU-1324,expensive_strategic,24655.0,445,10971475.0,4.0,2,30.5,4.2,2,0.142,1.0,A
SKU-1711,expensive_strategic,41468.09,264,10947575.76,5.0,1,36.3,6.6,2,0.164,2.0,A
SKU-1170,expensive_strategic,26346.77,414,10907562.78,4.0,2,25.4,7.2,2,0.158,0.0,A
SKU-2523,expensive_strategic,42491.54,256,10877834.24,4.0,2,20.5,7.1,3,0.196,0.0,A
SKU-2878,expensive_strategic,49291.76,220,10844187.2,4.0,1,27.9,4.5,2,0.1,2.0,A
SKU-0014,expensive_strategic,45044.77,238,10720655.26,5.0,1,37.1,6.6,3,0.147,2.0,A
SKU-1564,expensive_strategic,31253.69,339,10595000.91,4.0,1,33.0,4.1,3,0.061,2.0,A
SKU-1575,expensive_strategic,23710.79,446,10575012.34,5.0,1,16.1,8.8,3,0.054,2.0,A
SKU-2909,expensive_strategic,39912.32,262,10457027.84,4.0,5,28.4,8.3,2,0.087,1.0,A
SKU-1369,expensive_strategic,35009.0,295,10327655.0,5.0,5,16.8,7.1,3,0.149,2.0,A
SKU-0134,expensive_strategic,30104.32,342,10295677.44,4.0,1,30.5,8.4,3,0.078,0.0,A
SKU-2898,expensive_strategic,37185.93,276,10263316.68,4.0,2,32.4,7.1,3,0.134,2.0,A
SKU-0330,expensive_strategic,32955.19,310,10216108.9,5.0,1,21.4,4.0,2,0.196,2.0,A
SKU-2151,expensive_strategic,20958.22,485,10164736.7,5.0,1,36.8,8.1,3,0.105,0.0,A
SKU-3217,expensive_strategic,20912.81,482,10079974.42,4.0,1,42.6,3.3,2,0.098,0.0,A
SKU-0912,expensive_strategic,32113.67,313,10051578.71,4.0,1,20.6,5.4,2,0.168,1.0,A
SKU-0941,expensive_strategic,20156.86,497,10017959.42,4.0,5,20.6,3.9,3,0.09,2.0,A
SKU-1601,expensive_strategic,30321.59,329,9975803.11,5.0,1,28.0,5.8,2,0.16,1.0,A
SKU-1228,expensive_strategic,32617.05,303,9882966.15,5.0,1,40.1,3.9,3,0.173,2.0,A
SKU-0715,expensive_strategic,20383.95,483,9845447.85,4.0,1,25.8,3.9,3,0.114,2.0,A
SKU-0666,expensive_strategic,26735.53,368,9838675.04,4.0,2,29.7,4.8,3,0.111,0.0,A
SKU-3290,expensive_strategic,30307.91,324,9819762.84,4.0,2,21.6,8.2,2,0.094,0.0,A
SKU-1381,expensive_strategic,23496.84,417,9798182.28,5.0,2,22.3,9.0,3,0.109,0.0,A
SKU-1846,expensive_strategic,23078.53,423,9762218.19,4.0,1,41.4,6.8,2,0.058,2.0,A
SKU-0492,standard,1989.67,4892,9733465.64,3.0,3,24.2,7.0,2,0.172,1.0,A
SKU-2997,expensive_strategic,27702.033854166668,472,13075359.98,5.0,1,44.9,8.1,2,0.176,2.0,A
SKU-0118,expensive_strategic,22628.41,427,9662331.07,4.0,1,33.6,7.9,3,0.133,1.0,A
SKU-3441,expensive_strategic,28238.44,339,9572831.16,4.0,2,18.5,7.2,3,0.189,0.0,A
SKU-0763,expensive_strategic,31767.47,301,9562008.47,5.0,2,39.1,5.6,3,0.067,2.0,A
SKU-2589,expensive_strategic,36303.25,263,9547754.75,5.0,2,39.4,8.4,3,0.158,1.0,A
SKU-2811,expensive_strategic,24893.47,382,9509305.54,4.0,2,17.6,5.9,2,0.103,1.0,A
SKU-1868,expensive_strategic,45825.83,207,9485946.81,5.0,2,34.5,6.7,3,0.099,1.0,A
SKU-0720,standard,1963.96,4815,9456467.4,3.0,2,9.0,2.1,3,0.325,0.0,A
SKU-1952,expensive_strategic,41266.82,229,9450101.78,4.0,2,31.0,9.6,3,0.156,0.0,A
SKU-3364,expensive_strategic,20362.54,464,9448218.56,5.0,1,33.6,4.7,2,0.171,0.0,A
SKU-0087,standard,1893.46,4951,9374520.46,3.0,3,7.0,3.3,3,0.292,0.0,A
SKU-0965,expensive_strategic,29862.66,313,9347012.58,4.0,2,17.5,8.7,3,0.162,0.0,A
SKU-1148,standard,1941.7,4778,9277442.6,2.0,2,25.2,4.2,3,0.324,1.0,A
SKU-0270,expensive_strategic,49267.02,188,9262199.76,4.0,2,18.7,9.7,3,0.078,0.0,A
SKU-1079,expensive_strategic,26162.98,354,9261694.92,5.0,1,35.4,9.6,2,0.098,0.0,A
SKU-1270,expensive_strategic,32709.93,283,9256910.19,4.0,1,41.2,10.0,3,0.086,1.0,A
SKU-1070,expensive_strategic,19478.17,474,9232652.58,4.0,2,21.7,9.1,3,0.167,2.0,A
SKU-2017,expensive_strategic,25072.58,367,9201636.86,4.0,2,30.5,5.7,2,0.145,2.0,A
SKU-1693,standard,1977.36,4632,9159131.52,3.0,2,11.4,3.1,2,0.346,1.0,A
SKU-2904,standard,1995.17,4568,9113936.56,3.0,3,16.6,3.0,3,0.205,0.0,A
SKU-0023,expensive_strategic,39625.2,230,9113796.0,5.0,2,29.3,7.7,3,0.081,2.0,A
SKU-0318,expensive_strategic,37189.5,245,9111427.5,5.0,2,25.3,7.7,3,0.056,0.0,A
SKU-1261,expensive_strategic,47935.88,189,9059881.32,4.0,2,18.6,6.7,3,0.169,1.0,A
SKU-2470,standard,1873.77,4814,9020328.78,3.0,2,28.0,5.6,3,0.19,0.0,A
SKU-0003,standard,1882.13,4789,9013520.57,2.0,3,8.6,2.3,3,0.219,1.0,A
SKU-2814,expensive_strategic,25493.13,353,8999074.89,4.0,1,42.3,5.9,3,0.2,2.0,A
SKU-1949,expensive_strategic,32355.9,278,8994940.2,4.0,2,27.1,9.8,2,0.165,0.0,A
SKU-2524,standard,1843.53,4877,8990895.81,2.0,3,16.2,4.9,2,0.118,0.0,A
SKU-2329,standard,1989.91,4514,8982453.74,2.0,3,20.2,2.2,2,0.285,0.0,A
SKU-0644,expensive_strategic,34806.73,258,8980136.34,5.0,1,39.5,9.2,3,0.087,0.0,A
SKU-0369,expensive_strategic,44572.69,201,8959110.69,5.0,2,24.0,4.9,3,0.152,0.0,A
SKU-1636,expensive_strategic,18358.34,488,8958869.92,5.0,1,34.9,8.2,2,0.086,2.0,A
SKU-2586,standard,1837.57,4852,8915889.64,2.0,2,17.2,4.0,3,0.134,0.0,A
SKU-1973,expensive_strategic,37970.24,234,8885036.16,5.0,2,37.3,3.7,3,0.095,0.0,A
SKU-0670,expensive_strategic,24631.0,360,8867160.0,5.0,2,17.4,9.6,3,0.145,1.0,A
SKU-2764,standard,1997.44,4425,8838672.0,2.0,3,25.3,3.1,3,0.178,1.0,A
SKU-0254,expensive_strategic,27702.033854166668,191,5291088.47,4.0,2,18.6,9.8,3,0.163,1.0,A
SKU-0766,standard,1775.52,4942,8774619.84,2.0,3,18.2,2.9,2,0.169,1.0,A
SKU-1069,standard,1813.49,4838,8773664.62,2.0,3,29.8,3.8,2,0.269,0.0,A
SKU-1100,standard,1842.26,4754,8758104.04,2.0,2,22.4,4.8,2,0.102,0.0,A
SKU-2732,standard,1917.2,4561,8744349.2,3.0,2,15.2,3.3,3,0.309,0.0,A
SKU-2070,expensive_strategic,32819.02,266,8729859.32,5.0,2,40.0,8.3,2,0.07,2.0,A
SKU-3437,expensive_strategic,22555.13,387,8728835.31,5.0,2,23.4,9.3,3,0.16,0.0,A
SKU-1223,standard,1904.91,4578,8720677.98,2.0,3,25.1,3.1,3,0.132,1.0,A
SKU-0565,standard,1900.11,4569,8681602.59,2.0,3,18.9,5.6,3,0.236,0.0,A
SKU-0602,expensive_strategic,41805.69,207,8653777.83,4.0,2,15.6,7.1,2,0.125,1.0,A
SKU-3481,expensive_strategic,49153.1,176,8650945.6,5.0,2,31.2,5.6,3,0.118,1.0,A
SKU-3390,standard,1854.39,4651,8624767.89,3.0,3,13.5,2.8,2,0.143,1.0,A
SKU-2133,standard,1980.47,4334,8583356.98,2.0,3,23.1,6.7,2,0.259,0.0,A
SKU-3378,expensive_strategic,23837.67,360,8581561.2,4.0,1,27.8,5.2,2,0.052,0.0,A
SKU-0366,standard,1935.09,4428,8568578.52,3.0,2,13.7,3.9,2,0.268,0.0,A
SKU-1182,expensive_strategic,19118.09,448,8564904.32,4.0,1,38.0,3.5,3,0.175,1.0,A
SKU-2039,expensive_strategic,28546.61,299,8535436.39,4.0,2,36.5,9.5,2,0.065,2.0,A
SKU-2566,expensive_strategic,25362.83,335,8496548.05,5.0,2,28.0,6.4,3,0.056,0.0,A
SKU-3336,standard,1848.95,4592,8490378.4,3.0,2,24.3,2.5,2,0.154,1.0,A
SKU-2800,expensive_strategic,17784.05,477,8482991.85,5.0,1,19.7,9.3,3,0.107,2.0,A
SKU-0903,expensive_strategic,21813.56,387,8441847.72,4.0,1,23.7,7.3,2,0.163,1.0,A
SKU-1569,standard,1846.06,4568,8432802.08,3.0,2,11.7,5.1,3,0.163,1.0,A
SKU-1805,expensive_strategic,30479.22,275,8381785.5,5.0,1,32.2,4.2,1,0.122,0.0,A
SKU-2921,expensive_strategic,41288.34,202,8340244.68,4.0,2,34.5,4.6,3,0.064,2.0,A
SKU-2020,standard,1976.66,4210,8321738.6,3.0,2,20.6,4.2,2,0.171,0.0,A
SKU-2139,expensive_strategic,43780.32,190,8318260.8,5.0,1,30.9,6.6,3,0.152,1.0,A
SKU-0496,standard,1753.05,4741,8311210.05,3.0,3,20.9,5.8,3,0.284,0.0,A
SKU-0682,expensive_strategic,35927.74,230,8263380.2,4.0,2,18.1,5.8,3,0.163,0.0,A
SKU-2981,standard,1709.85,4828,8255155.8,2.0,2,20.9,4.0,3,0.32,0.0,A
SKU-1176,standard,1899.84,4345,8254804.8,2.0,3,23.3,4.5,2,0.219,0.0,A
SKU-1225,standard,1864.73,4413,8229053.49,3.0,2,28.1,1.8,3,0.305,0.0,A
SKU-2043,standard,1682.04,4884,8215083.36,2.0,2,26.2,1.6,3,0.279,0.0,A
SKU-2494,standard,1741.31,4710,8201570.1,2.0,3,15.9,1.9,3,0.137,0.0,A
SKU-1552,standard,1798.2,4554,8189002.8,3.0,2,27.2,6.6,2,0.127,1.0,A
SKU-0320,expensive_strategic,41956.67,195,8181550.65,5.0,1,19.1,9.6,3,0.086,0.0,A
SKU-1637,standard,1638.05,4990,8173869.5,3.0,2,7.9,4.0,2,0.181,1.0,A
